,cluster,churn_proba,segment,strategy
56954,2,0.30837753,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68892,1,0.57029325,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58850,1,0.40470016,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66727,1,0.26825544,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56866,2,0.53731376,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65443,2,0.4973456,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55941,2,0.21803351,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58711,0,0.52651966,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
53205,1,0.1570803,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68976,1,0.64261055,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51844,1,0.35372862,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61084,1,0.37728676,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52729,1,0.59903514,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64051,1,0.4380304,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58070,1,0.35179707,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52055,2,0.37880316,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59612,0,0.6117373,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
68141,1,0.36514744,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70282,2,0.120213754,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61575,2,0.32786202,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
67090,1,0.35160962,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51393,1,0.35906497,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65576,1,0.39558226,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68196,1,0.2506076,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68563,1,0.26535958,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66775,1,0.3137751,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30730,1,0.37371182,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68682,2,0.22981898,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63801,1,0.5460457,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68120,1,0.5878432,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57943,2,0.30777138,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68304,1,0.35549355,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63596,2,0.7666547,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57461,2,0.40307647,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56977,1,0.47658136,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66518,2,0.118438944,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63996,1,0.25411814,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62754,1,0.44764358,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56832,1,0.44587427,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55815,1,0.62001395,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68965,1,0.53242713,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65214,2,0.27622876,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61854,2,0.64169264,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58606,2,0.28490412,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55039,2,0.79338455,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65340,1,0.09220213,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55286,1,0.4263869,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54700,2,0.45236263,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58622,1,0.5304961,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62896,1,0.52137023,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68143,0,0.7848706,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
66689,2,0.07296339,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
71022,2,0.30829138,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61411,2,0.48375094,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65651,2,0.6348679,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55375,1,0.25712588,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54027,2,0.58064574,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59217,2,0.21012326,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57480,1,0.5200799,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60063,1,0.5266412,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56139,2,0.42107123,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59378,2,0.3141445,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60295,0,0.44464818,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
53720,2,0.40271828,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56274,2,0.44047543,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56280,2,0.28269157,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65432,2,0.36068955,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60185,2,0.32545888,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63172,1,0.62957126,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59448,1,0.36921808,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53262,1,0.09351237,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65716,2,0.1961939,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
53550,2,0.45098558,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54743,1,0.30450785,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60339,2,0.82414675,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69529,0,0.5777573,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
64933,1,0.3125906,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60377,1,0.35203636,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52392,1,0.23114349,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65047,1,0.20647714,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30507,2,0.43080446,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58062,2,0.38891605,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51092,1,0.41514388,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53155,1,0.36226705,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62014,0,0.3644238,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
54831,1,0.29107612,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61821,1,0.26526704,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68534,2,0.21073863,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51975,2,0.4519832,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57081,1,0.6435854,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52439,1,0.3756311,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52400,0,0.57009274,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
64405,1,0.32711428,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60111,1,0.21806847,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30819,2,0.14039962,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56845,2,0.26292446,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58959,1,0.19606993,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55523,1,0.2240863,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63669,1,0.5202645,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52827,0,0.5010751,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
51540,0,0.58431524,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
64091,1,0.24671943,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52675,2,0.37686712,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66399,2,0.5021871,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63064,1,0.64397115,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57446,1,0.29568288,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57871,2,0.39715475,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59643,1,0.39528129,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53650,1,0.27197182,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65583,1,0.46338686,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55813,1,0.43920565,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65706,1,0.50802964,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61589,2,0.33511147,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66958,1,0.32094595,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52785,1,0.094090074,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63576,1,0.41031566,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61685,1,0.5187158,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30483,1,0.33077824,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62422,2,0.70881855,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70621,2,0.3307053,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60640,2,0.45892856,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70950,1,0.57350826,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58645,1,0.20457062,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62826,1,0.5096531,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57207,2,0.20800902,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55331,2,0.4330679,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66183,1,0.43787688,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51778,1,0.1767301,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65526,2,0.32777986,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52552,2,0.6678727,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65290,2,0.3938534,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60284,2,0.25709355,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65045,2,0.63214546,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62175,2,0.3874627,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69418,2,0.4894107,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68952,2,0.19150929,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51789,1,0.38260683,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57724,1,0.37500405,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51594,2,0.4520572,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70711,2,0.2853097,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61725,1,0.39826623,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68204,1,0.2335628,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69156,1,0.30314833,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69447,0,0.65814227,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
67704,0,0.5214632,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
61954,1,0.19039443,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67467,0,0.6670528,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
54455,2,0.6783396,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65631,1,0.26975554,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61837,1,0.52954745,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63168,1,0.7422889,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53808,1,0.24250484,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61446,1,0.2962852,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63306,0,0.63728064,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
64431,2,0.21829553,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68898,1,0.33707604,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64018,1,0.3972153,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56647,2,0.22975065,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69899,1,0.5509624,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52523,1,0.48724145,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63359,1,0.5204832,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55662,1,0.17196544,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67195,2,0.43432966,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59410,2,0.44124928,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57343,1,0.36975974,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68361,2,0.5130674,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60461,1,0.26341075,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65530,2,0.40419757,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69985,2,0.29329056,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51530,1,0.18063718,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66290,1,0.26614186,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68638,2,0.042364415,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68879,2,0.39707303,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65853,2,0.4944266,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56174,1,0.3380827,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52790,2,0.16169773,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57261,2,0.47203577,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58021,1,0.26640013,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65674,2,0.1280621,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68575,2,0.34257507,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64993,2,0.34912577,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69417,1,0.30796823,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69665,2,0.28692982,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65876,2,0.17317973,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58970,2,0.42235488,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
67711,1,0.34568664,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58866,1,0.3141278,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69166,2,0.7056438,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64272,1,0.49096555,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63228,0,0.6509922,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
53015,1,0.39330268,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55923,1,0.2382694,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58644,1,0.44325963,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70392,2,0.16256037,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56453,1,0.31218097,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64460,1,0.4681614,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65868,1,0.2014149,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63270,2,0.43582293,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61647,1,0.69133663,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68291,1,0.41610977,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57877,1,0.1591779,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63009,2,0.48474258,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64022,1,0.21990083,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57702,1,0.20379594,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65767,2,0.41488308,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60361,2,0.43512717,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56840,2,0.46080607,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51379,0,0.5391035,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
67911,1,0.38003454,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56596,2,0.39172545,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66994,2,0.6647796,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59609,1,0.16527613,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62324,1,0.39676285,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69358,1,0.21693784,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59451,1,0.18217304,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54478,1,0.52527773,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59624,1,0.24102397,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59005,1,0.389564,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51278,2,0.23880641,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68966,2,0.8517432,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60055,1,0.6567459,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64180,2,0.5505246,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66437,1,0.4045039,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59021,1,0.23567046,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62840,2,0.4166645,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
67994,1,0.2898126,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69312,2,0.42878994,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51830,2,0.32957637,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
53391,2,0.38210103,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61476,1,0.37023863,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60903,1,0.30630666,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68659,1,0.2069452,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54068,2,0.29763836,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69154,1,0.3495169,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65613,1,0.35943544,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61966,1,0.49690264,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30778,1,0.44891554,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58394,2,0.36312526,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66232,1,0.6566204,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67380,1,0.49789307,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54359,2,0.24375996,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70664,2,0.46401182,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51182,1,0.20826276,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59488,1,0.6306767,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60696,1,0.33014932,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52802,2,0.49234763,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56135,2,0.26680973,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
67406,1,0.3269764,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68967,2,0.2736589,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70688,2,0.25572252,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68995,1,0.4668949,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56435,1,0.61696154,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67092,1,0.21347275,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55504,1,0.5409018,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64337,1,0.3597769,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70491,1,0.1450134,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54950,1,0.23167042,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70011,2,0.06700642,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66871,2,0.3568266,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65468,2,0.29761824,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58950,2,0.22974043,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66166,0,0.54991704,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
30454,2,0.5057549,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52801,2,0.45174995,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55954,2,0.38880724,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60545,1,0.18137997,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53517,2,0.59501225,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66777,1,0.5396638,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56255,1,0.4638016,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
